CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,LAT,LON
41610646,FINANCIER PATISSERIE,MANHATTAN,90,NASSAU STREET,10038,2127486000,CafÃ©/Coffee/Tea,05/03/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,05/03/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.710078,-74.007679
50002109,"DUNKIN' DONUTS",MANHATTAN,4030,BROADWAY,10032,2129232222,Donuts,02/08/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8419403,-73.9388951
50005498,KENNEDY FRIED CHICKEN,BRONX,13,E MOUNT EDEN AVE,10452,3478499291,Chicken,02/16/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,02/16/2016,04/09/2018,Cycle Inspection / Re-inspection,40.8443075,-73.9142916
50053586,NEW TASTE TO GO,BROOKLYN,2310,86TH ST,11214,7189383937,Chinese,01/26/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,01/26/2017,04/09/2018,Cycle Inspection / Re-inspection,40.60019339999999,-73.9914276
40897778,RENAISSANCE HOTEL,MANHATTAN,714,7 AVENUE,10036,2122615125,American,03/23/2017,Violations were cited in the following area(s).,04M,"Live roaches present in facility's food and/or non-food areas.",Critical,33,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7596846,-73.9846391
40903063,O-MAI,MANHATTAN,158,9 AVENUE,10011,2126330550,Vietnamese/Cambodian/Malaysia,10/02/2017,Violations were cited in the following area(s).,04M,"Live roaches present in facility's food and/or non-food areas.",Critical,18,B,10/02/2017,04/09/2018,Cycle Inspection / Re-inspection,40.7443146,-74.0026298
41644048,AMELIE,MANHATTAN,22,WEST    8 STREET,10011,2125332962,French,01/18/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7326287,-73.9976676
40951870,THERAPY,MANHATTAN,348,WEST   52 STREET,10019,2123971700,American,07/11/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7640839,-73.9869342
50008301,VERO,MANHATTAN,1483,2ND AVE,10075,2124523354,Italian,02/22/2017,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,20,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7722556,-73.9561648
40925336,BEMBE,BROOKLYN,81,SOUTH    6 STREET,11249,7183875389,American,09/11/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,A,09/11/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.7111048,-73.9651604
50001277,NAGLE BAKERY,MANHATTAN,121B,NAGLE AVENUE,10040,6464769462,Bakery,07/05/2016,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,26,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8606734,-73.92692319999999
41030858,LA MIA PIZZA,MANHATTAN,1488,1 AVENUE,10075,2124721200,Pizza,10/15/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,B,10/15/2015,04/09/2018,Cycle Inspection / Re-inspection,40.771291,-73.95318
50038412,TWIN SISTER PAN,BROOKLYN,6319,8TH AVE,11220,9173617189,Chinese,12/01/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,B,12/01/2016,04/09/2018,Cycle Inspection / Re-inspection,40.6333585,-74.011445
41632513,VILLAGE TAVERNA GREEK GRILL,MANHATTAN,81,UNIVERSITY PLACE,10003,2129823457,Greek,04/08/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,17,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7333061,-73.9930828
41714016,LA ABUNDANCIA,QUEENS,9419,ROOSEVELT AVENUE,11372,7183358800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/29/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,38,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7491688,-73.87203769999999
50068183,CHEF 28,MANHATTAN,29,E 28TH ST,10016,2126858871,Chinese,01/22/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,99,,,04/09/2018,Pre-permit (Operational) / Re-inspection,40.7438918,-73.98495419999999
50005934,MIYAKO SUSHI,MANHATTAN,642,AMSTERDAM AVE,10025,2127245200,Japanese,08/23/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,08/23/2016,04/09/2018,Cycle Inspection / Re-inspection,40.791128,-73.972787
41335405,RADISSON JFK - CONNECTIONS,QUEENS,13530,140 STREET,11436,7183222300,American,04/24/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,04/09/2018,Administrative Miscellaneous / Re-inspection,40.6672234,-73.79862
40638566,"FRANCESCO'S PIZZERIA RESTAURANT",QUEENS,7029,PARSONS BOULEVARD,11365,7185916161,Pizza/Italian,06/26/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,06/26/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.731485,-73.809902
50034513,NUMBER 1 CHINESE RESTAURANT,QUEENS,10614,NORTHERN BLVD,11368,7184781817,Chinese,12/03/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7575671,-73.8622572
50002428,GLAZE,MANHATTAN,60,W 56TH ST,10019,2123150300,Asian,12/13/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7632881,-73.9774714
41706396,LUCKY SIX HAPPY,QUEENS,1479,BEACH CHANNEL DRIVE,11691,7183372888,Chinese,04/25/2016,Violations were cited in the following area(s).,04M,"Live roaches present in facility's food and/or non-food areas.",Critical,71,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6098725,-73.7538687
40998001,KOMBIT KREYOL,BROOKLYN,279,FLATBUSH AVENUE,11217,7183992000,Caribbean,02/28/2018,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,42,,,04/09/2018,Cycle Inspection / Initial Inspection,40.679387,-73.9737842
50010777,CHINA WOK,BROOKLYN,1035,E 92ND ST,11236,7182575888,Chinese,04/05/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17,,,04/09/2018,Cycle Inspection / Initial Inspection,40.643789,-73.907489
41502489,ISAACS JAMAICAN CUISINE,BROOKLYN,1060,RUTLAND ROAD,11212,3473655036,Caribbean,07/27/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,07/27/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.6635731,-73.9245811
50016854,BOCCA BLISS,MANHATTAN,725,3RD AVE,10017,2128671881,American,01/09/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,42,,,04/09/2018,Cycle Inspection / Initial Inspection,40.752794,-73.972624
41093742,STONE CREEK,MANHATTAN,140,EAST   27 STREET,10016,2125321037,American,03/01/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,21,,,04/09/2018,Cycle Inspection / Initial Inspection,40.741611,-73.982529
50043722,TERRI,MANHATTAN,685,3RD AVE,10017,2122039132,Vegetarian,03/11/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,2,A,03/11/2016,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7515453,-73.9735893
41267944,EMPIRE KING RESTAURANT,BRONX,1374,BOSTON ROAD,10456,7183285988,Chinese,02/21/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,02/21/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.8323837,-73.898194
41359153,TWO BOOTS,MANHATTAN,1617,2 AVENUE,10028,2127340317,Pizza,03/31/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,03/31/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7765639,-73.952983
40588072,CIRO PIZZA,QUEENS,11319,BEACH CHANNEL DRIVE,11694,7184748068,Pizza,07/22/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,,,04/09/2018,Cycle Inspection / Initial Inspection,40.581895,-73.8352161
41584120,7 SPICES,BRONX,906908,E GUNHILL RD,10469,3473268646,Caribbean,11/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,39,,,04/09/2018,Cycle Inspection / Initial Inspection,40.869102,-73.84361460000001
41403545,3rd & 7,BROOKLYN,3622,QUENTIN ROAD,11234,7183366300,American,10/01/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,10/01/2014,04/09/2018,Cycle Inspection / Re-inspection,40.6148963,-73.9359936
50034723,THE BLACK FLAMINGO,BROOKLYN,281,VAN BRUNT ST,11231,9172541789,CafÃ©/Coffee/Tea,07/16/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6,A,07/16/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.6790898,-74.0106948
41257282,MASAL CAFE & LOUNGE,BROOKLYN,1901,EMMONS AVENUE,11235,7188917090,Turkish,01/13/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,01/13/2016,04/09/2018,Cycle Inspection / Re-inspection,40.583865,-73.949116
50055051,ALBERO,BROOKLYN,667,CLASSON AVE,11238,9177768394,Italian,01/05/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,A,01/05/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.6773247,-73.9589659
40579745,CHICKEN HOLIDAY EXPRESS,STATEN ISLAND,3785,VICTORY BOULEVARD,10314,7184942442,Chicken,06/21/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,06/21/2017,04/09/2018,Cycle Inspection / Initial Inspection,40.5975061,-74.1822074
41632521,PIZZA DADDY,BROOKLYN,6422,BAY PARKWAY,11204,7182597300,Italian,09/26/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6141505,-73.9815222
50042460,NEW LUCKY STAR RESTAURANT,QUEENS,9419,ASTORIA BLVD,11369,7184585252,Chinese,01/10/2018,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,01/10/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.763095,-73.87443999999999
41276672,THE AUSTRALIAN,MANHATTAN,20,WEST 38 STREET,10018,2128698601,Australian,03/01/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,03/01/2018,04/09/2018,Cycle Inspection / Initial Inspection,40.7512301,-73.9838982
50035831,"DAHLIA'S FINE MEXICAN CUISINE",MANHATTAN,353,GREENWICH ST,10013,2127660911,Mexican,05/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,05/27/2015,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7186421,-74.010138
40643227,"MCDONALD'S",QUEENS,13832,JAMAICA AVENUE,11435,7185588665,American,10/15/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,,,04/09/2018,Cycle Inspection / Initial Inspection,40.70226,-73.81429059999999
50032777,SKYLINE DINER,QUEENS,27127,UNION TPKE,11040,7183471195,American,06/23/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,33,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7523323,-73.702387
50053586,NEW TASTE TO GO,BROOKLYN,2310,86TH ST,11214,7189383937,Chinese,10/16/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,10/16/2017,04/09/2018,Cycle Inspection / Re-inspection,40.60019339999999,-73.9914276
40927908,"TEDDY'S CAFE",BRONX,805,ZEREGA AVENUE,10473,7182397050,American,08/31/2017,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,11,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8244097,-73.8432158
41687082,THE POMEROY,QUEENS,3612,DITMARS BOULEVARD,11105,7187266669,American,10/19/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,10/19/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.7738985,-73.9079891
50004442,BAKERY ON 3RD CAFE,MANHATTAN,1885,3RD AVE,10029,2125340008,Bakery,08/17/2017,Violations were cited in the following area(s).,04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,18,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7902887,-73.9451897
50057391,MUNCHIES,QUEENS,12301,LIBERTY AVE,11419,7187384061,Pizza,11/03/2016,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,56,,,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.6876586,-73.8211145
41399300,NEW YORK DINER,QUEENS,4909,NORTHERN BOULEVARD,11101,7186268857,American,03/18/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,03/18/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7536003,-73.9129497
50052350,WILLDERNESS YARD,QUEENS,9904A,ROCKAWAY BEACH BLVD,11694,9179600899,CafÃ©/Coffee/Tea,11/01/2016,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,10,A,11/01/2016,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.5842693,-73.8206443
41646979,MERCI MARKET,MANHATTAN,350,WEST   42 STREET,10036,2125609300,Delicatessen,05/24/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,05/24/2017,04/09/2018,Cycle Inspection / Re-inspection,40.7578482,-73.99232310000001
40762853,GREAT N.Y. NOODLETOWN,MANHATTAN,28,BOWERY,10013,2123490923,Chinese,11/03/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,55,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7150441,-73.9971666
50066222,COFFEE,MANHATTAN,225,LIBERTY ST,10281,2129818588,CafÃ©/Coffee/Tea,09/22/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,09/22/2017,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7125,-74.015278
41145521,PIZZA BELLA,QUEENS,8130,BROADWAY,11373,7185071009,Pizza,10/29/2015,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,04/09/2018,Administrative Miscellaneous / Re-inspection,40.7428533,-73.88321429999999
50010338,OAXAQUITA BELLA RESTAURANT AND BAKERY,QUEENS,9006,JAMAICA AVE,11421,7188058000,Mexican,07/09/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20,B,07/09/2015,04/09/2018,Cycle Inspection / Re-inspection,40.6926828,-73.854371
50038068,BOTTLE AND BINE,MANHATTAN,1085,2ND AVE,10022,2128887405,American,01/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,6,A,01/14/2016,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7596006,-73.9653944
41237648,TUSCANY CAFE,QUEENS,0,JFK AIRPORT,11430,7187511634,CafÃ©/Coffee/Tea,08/20/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,62,,,04/09/2018,Cycle Inspection / Initial Inspection,40.6413111,-73.77813909999999
50034567,THE DRAFT HOUSE,MANHATTAN,3473,BROADWAY,10031,6465900554,Pizza/Italian,04/08/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8244168,-73.9523121
50017026,WOK TO WALK,MANHATTAN,42,UNION SQ E,10003,6469187006,Thai,05/19/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7361924,-73.9890465
41382650,SZECHUAN GOURMET,QUEENS,13515,37 AVENUE,11354,7188889388,Chinese,08/23/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,B,08/23/2016,04/09/2018,Cycle Inspection / Re-inspection,40.7611691,-73.8325201
50008191,SHAKE SHAKE 8 KTV,QUEENS,13621,41ST AVE,11355,7186668533,Chinese,01/02/2015,Violations were cited in the following area(s).,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,17,B,01/02/2015,04/09/2018,Cycle Inspection / Re-inspection,40.7455477,-73.8880796
50071967,Xin Taste Hand Pull Noodle,QUEENS,7238,AUSTIN ST,11375,9178225937,Other,01/16/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,01/16/2018,04/09/2018,Pre-permit (Operational) / Initial Inspection,40.7186748,-73.8415232
41519373,BUNGALO,QUEENS,3203,BROADWAY,11106,7182047010,Armenian,11/10/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,04/09/2018,Trans Fat / Initial Inspection,40.7616589,-73.9242411
50064681,BOBBY SPOT NUVO CAFE,QUEENS,4701,VAN DAM ST,11101,3476491326,Egyptian,07/07/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,07/07/2017,04/09/2018,Pre-permit (Operational) / Re-inspection,40.74254500000001,-73.93378
50011159,FRAICHE MAXX,MANHATTAN,213,PARK AVE S,10003,2125108551,American,08/02/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,30,,,04/09/2018,Cycle Inspection / Initial Inspection,40.736816,-73.9886554
50043359,CHOZA TAQUERIA,MANHATTAN,100,PARK AVE,10017,9176756613,Mexican,01/26/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,B,01/26/2016,04/09/2018,Pre-permit (Operational) / Re-inspection,40.7515456,-73.97891659999999
50004578,LUCKY CHICKEN,MANHATTAN,377,1ST AVE,10010,2122281325,American,06/16/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,31,,,04/09/2018,Cycle Inspection / Initial Inspection,40.73643740000001,-73.97921509999999
40679269,HOUSE OF BREWS,MANHATTAN,302,WEST   51 STREET,10019,2125417080,American,10/06/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,10/06/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.7629472,-73.9862398
50011700,LOS HERMANOS SALAZAR RESTAURANT,BRONX,645,COURTLANDT AVE,10451,9174718320,Mexican,10/25/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,B,10/25/2016,04/09/2018,Cycle Inspection / Re-inspection,40.8189192,-73.9186459
40966076,"WELCOME TO THE JOHNSON'S",MANHATTAN,123,RIVINGTON STREET,10002,2124209911,American,01/12/2016,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,04/09/2018,Administrative Miscellaneous / Initial Inspection,40.7196431,-73.98725250000001
41451597,"TOM'S COFFEE SHOP",BRONX,250,EAST BURNSIDE AVENUE,10457,7187312077,CafÃ©/Coffee/Tea,03/03/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,31,C,03/03/2015,04/09/2018,Cycle Inspection / Re-inspection,40.85150660000001,-73.902627
41709587,MARIETTA,BROOKLYN,4143,CLIFTON PLACE,11238,7186389500,American,06/19/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,06/19/2015,04/09/2018,Cycle Inspection / Re-inspection,40.6881499,-73.95986719999999
50011908,BUDDHA BODAI ONE VEGETARIAN RESTAURANT,MANHATTAN,5,MOTT ST,10013,2125668388,Vegetarian,03/30/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,29,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7138624,-73.9989112
50002763,INAKA,BROOKLYN,8318,3RD AVE,11209,7188360888,Asian,11/10/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,11/10/2016,04/09/2018,Cycle Inspection / Initial Inspection,40.6252299,-74.030586
41712191,"CHEN KAM'S GARDEN CHINESE RESTAURANT",QUEENS,24507,JERICHO TURNPIKE,11426,7183434442,Chinese,07/09/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,4,A,07/09/2015,04/09/2018,Cycle Inspection / Initial Inspection,40.7250907,-73.7227754
41049219,KENNEDY CHICKEN AND PIZZA,BRONX,941,INTERVALE AVENUE,10459,7188602295,Chicken,06/16/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18,,,04/09/2018,Cycle Inspection / Initial Inspection,40.8212335,-73.8972411
41491816,DRAGON YUAN,BRONX,526,MORRIS AVENUE,10451,7189938898,Chinese,11/10/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,11/10/2014,04/09/2018,Cycle Inspection / Initial Inspection,40.8169148,-73.9227994
50037737,MARCHA EAST VILLAGE,MANHATTAN,111,AVENUE C,10009,6467819147,Spanish,05/05/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,05/05/2017,04/09/2018,Cycle Inspection / Re-inspection,40.7243248,-73.9789511
50006214,ABACE SUSHI,MANHATTAN,695,9TH AVE,10036,2129771777,Japanese,09/20/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18,,,04/09/2018,Cycle Inspection / Initial Inspection,40.7621569,-73.99018819999999
