CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,LAT,LON
40378874,TERRA BLUES,MANHATTAN,149,BLEEKER STREET,10012,2127777776,American,04/02/2015,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.6922421,-73.8625916
40521005,PRETTO CAFFE E CUCINA,MANHATTAN,417,AMSTERDAM AVENUE,10024,2123621180,Italian,04/02/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,40.7006993,-73.9434906
40750766,ZARO'S FAMILY BAKERY,MANHATTAN,2,PENN PLAZA,10121,2122920150,Bakery,04/02/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,40.735813,-74.007578
40659197,OFF THE WAGON,MANHATTAN,109,MACDOUGAL STREET,10012,2125334487,American,04/02/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,40.839972,-73.9165491
40370759,CAFE ESPANOL,MANHATTAN,172,BLEECKER STREET,10012,2125050657,Spanish,04/03/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,40.7287669,-74.0007378
40382302,SANTA FE GRILL & BAR,BROOKLYN,62,7 AVENUE,11217,7186360279,Tex-Mex,04/03/2015,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.7507369,-73.9725234
40691569,PERSHING SQUARE CAFE,MANHATTAN,90,EAST   42 STREET,10017,2122869600,American,04/03/2015,Thawing procedures improper.,Not Critical,11,40.7642063,-73.9832105
40402393,HARVARD CLUB,MANHATTAN,27,WEST   44 STREET,10036,2128406600,American,04/03/2015,Hot food item not held at or above 140Âº F.,Critical,11,40.7652747,-73.9807922
40551900,KILLMEYER'S OLD BAVARIA INN.,STATEN ISLAND,4256,ARTHUR KILL ROAD,10309,7189841202,German,04/03/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,40.8239412,-73.9493978
40560442,BLOCKHEAD'S MEXICAN DINER,MANHATTAN,954,2 AVENUE,10022,2127502020,Mexican,04/03/2015,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,40.8464194,-73.8928162
40385161,AUTOMATIC SLIMS,MANHATTAN,733,WASHINGTON STREET,10014,2126458660,American,04/04/2015,''''Wash hands sign not posted at hand wash facility.,Not Critical,12,40.7236119,-73.9509598
40375819,MARIA RISTORANTE,BROOKLYN,3073,EMMONS AVENUE,11235,7186466665,Italian,04/05/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,33,40.5842287,-73.9365534
40393532,J.J. BUBBLES,BROOKLYN,7912,THIRD AVENUE,11209,9178039417,"Bottled beverages, including water, sodas, juices, etc.",04/05/2015,Food Protection Certificate not held by supervisor of food operations.,Critical,17,40.6926166,-73.9869285
40400366,VIN ET FLEURS,MANHATTAN,69,THOMPSON STREET,10012,2129665417,French,04/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,40.6998279,-73.9921217
40553581,BOSTON MARKET,BRONX,337185,EAST TREMONT AVENUE,10461,7188240440,Chicken,04/05/2015,Permit not conspicuously displayed.,Not Critical,,40.72592,-73.9846452
40591607,PUMPS EXOTIC BAR,BROOKLYN,1077,GRAND STREET,11211,7185992474,American,04/05/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,40.7341286,-73.9519581
40400686,PEKING DUCK HOUSE,MANHATTAN,236,EAST   53 STREET,10022,2127598260,Chinese,04/05/2015,Hot food item not held at or above 140Âº F.,Critical,23,40.7580005,-73.9173563
40588462,JOHN'S PIZZA,QUEENS,11115,LEFFERTS BOULEVARD,11420,7188436121,Pizza,04/05/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,41,40.8046486,-73.9549467
40386570,CUBBYHOLE,MANHATTAN,281,WEST   12 STREET,10014,2122439041,American,04/06/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,40.665884,-73.9821469
40681411,JOE'S SHANGHAI RESTAURANT,MANHATTAN,24,WEST   56 STREET,10019,2123333868,Chinese,04/06/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,40.694891,-73.84764
40732696,GIACOMO FINE FOODS,MANHATTAN,269,WEST   72 STREET,10069,2127996828,American,04/06/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,40.7196455,-73.9878811
40720393,ANDREW'S DINER,STATEN ISLAND,4160,HYLAN BOULEVARD,10308,9179488544,American,04/06/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18,40.7254621,-73.9780487
40703714,PALM RESTAURANT,MANHATTAN,250,WEST   50 STREET,10019,2123337256,Steak,04/06/2015,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,6,40.7519289,-73.9776226
40380464,GEIDO RESTAURANT,BROOKLYN,331,FLATBUSH AVENUE,11217,7186388866,Japanese,04/06/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,40.758755,-73.9845905
40672460,HANA SUSHI,MANHATTAN,211,7 AVENUE,10011,2126209950,Japanese,04/06/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,40.761003,-73.968793
40535297,GIOVANNI 25,MANHATTAN,25,EAST   83 STREET,10028,2129887300,Italian,04/06/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,40.7744498,-73.9123338
40395152,UNCLE VANYA,MANHATTAN,315,WEST   54 STREET,10019,2122620542,Russian,04/06/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,40.8005522,-73.9674607
40736385,MCDONALD'S,BROOKLYN,2797,LINDEN BOULEVARD,11208,7188274227,Hamburgers,04/08/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,40.753594,-73.9884515
40393742,POPEYES LOUISIANA KITCHEN/DUNKIN DONUTS,MANHATTAN,321,WEST  125 STREET,10027,2129329636,Chicken,04/08/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,40.770444,-73.9597299
40700724,SCALINI FEDELI,MANHATTAN,165,DUANE STREET,10013,2125280400,Italian,04/09/2015,Proper sanitization not provided for utensil ware washing operation.,Not Critical,10,40.7492125,-73.7082147
40600383,FERRARA'S,MANHATTAN,195,GRAND STREET,10013,2122266150,Bakery,04/09/2015,,Not Applicable,,40.765094,-73.818476
40543027,IL POSTO,BROOKLYN,7409,AVENUE U,11234,7182414317,Italian,04/11/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,21,40.5769833,-74.1681264
40367179,TWINS PUB,MANHATTAN,421,9 AVENUE,10001,2126431688,Irish,04/11/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,38,40.6125938,-74.0334319
40675892,DINER,BROOKLYN,85,BROADWAY,11249,7184863077,American,04/11/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22,40.6430002,-73.790887
40374711,ROSIE O'GRADY RESTAURANT,MANHATTAN,800,7 AVENUE,10019,2125822975,Irish,04/11/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,14,40.6914047,-73.9918088
40397916,CATERINA'S PIZZERIA,BROOKLYN,907,LIVONIA AVENUE,11207,6464703013,Pizza/Italian,04/11/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31,40.7185897,-73.8145663
40589545,KHYBER PASS,MANHATTAN,34,ST MARKS PLACE,10003,2124730989,Afghan,04/11/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,40.7288609,-74.0001048
40385873,RAY'S PIZZA,MANHATTAN,829-831,7 AVENUE,10019,2129749381,Pizza,04/11/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,40.7574662,-73.9762421
40557466,KENNEDY FRIED CHICKEN,BRONX,696,ALLERTON AVENUE,10467,3475207275,Chicken,04/11/2015,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,34,40.7594692,-73.8923962
40557466,KENNEDY FRIED CHICKEN,BRONX,696,ALLERTON AVENUE,10467,3475207275,Chicken,04/11/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,34,40.7594692,-73.8923962
40374711,ROSIE O'GRADY RESTAURANT,MANHATTAN,800,7 AVENUE,10019,2125822975,Irish,04/11/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,40.762545,-73.9824817
40397916,CATERINA'S PIZZERIA,BROOKLYN,907,LIVONIA AVENUE,11207,6464703013,Pizza/Italian,04/11/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,40.7642753,-73.9879844
40389175,ROYAL PIZZA,BROOKLYN,945,PENNSYLVANIA AVENUE,11207,7182720108,Pizza,04/11/2015,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,40.7692738,-73.9628087
40365904,MEE SUM CAFE,MANHATTAN,26,PELL STREET,10013,2123495260,CafÃ©/Coffee/Tea,04/12/2015,Hot food item not held at or above 140Âº F.,Critical,24,40.7278168,-73.70897
40751449,LITTLE ITALY PIZZA,MANHATTAN,521,5 AVENUE,10175,2126873660,Pizza,04/12/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,40.7577626,-73.8296268
40400811,CAFE VOLNA,BROOKLYN,3145,BRIGHTON    4 STREET,11235,7183320341,Russian,04/12/2015,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,28,40.7654583,-73.9834735
40397305,"SUGAR HILL RESTAURANT, SUPPER CLUB AND DISCO",BROOKLYN,609,DEKALB AVENUE,11216,7187971727,American,04/12/2015,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13,40.7826745,-73.9508638
40397305,"SUGAR HILL RESTAURANT, SUPPER CLUB AND DISCO",BROOKLYN,609,DEKALB AVENUE,11216,7187971727,American,04/12/2015,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,40.7826745,-73.9508638
40401821,THREE DECKER RESTAURANT,MANHATTAN,1746,2 AVENUE,10128,2122899936,American,04/12/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,40.8032642,-73.9639642
40587720,STARBUCKS,MANHATTAN,1,PENN PLAZA,10119,2127603001,CafÃ©/Coffee/Tea,04/12/2015,Permit not conspicuously displayed.,Not Critical,,40.8349674,-73.9446387
40398690,DOC HOLIDAYS,MANHATTAN,141,AVENUE A,10009,2129790312,American,05/01/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,40.7639595,-73.9809046
40711118,ESPERANTO RESTAURANT BAR AND JUGO,MANHATTAN,145,AVENUE C,10009,2125056559,Brazilian,05/02/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,40.7215006,-74.0015739
40698274,BELLO GIARDINO,MANHATTAN,71,WEST   71 STREET,10023,2128751512,Italian,05/02/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38,40.7220482,-73.9404597
40698274,BELLO GIARDINO,MANHATTAN,71,WEST   71 STREET,10023,2128751512,Italian,05/02/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,38,40.7220482,-73.9404597
40424410,HIGHWAY BAGELS,BROOKLYN,1921,KINGS HIGHWAY,11229,7183369200,Bagels/Pretzels,05/02/2015,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,7,40.7613416,-73.9756108
40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2125827200,American,05/02/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,40.7649048,-73.972042
40367860,LB SPUMONI GARDENS,BROOKLYN,2725,86 STREET,11223,7184491230,Pizza/Italian,05/02/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,40.7694132,-73.8340838
40617736,BOTTINO,MANHATTAN,248,10 AVENUE,10001,2122066766,Italian,05/03/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,40.6040929,-74.0069911
40617736,BOTTINO,MANHATTAN,248,10 AVENUE,10001,2122066766,Italian,05/03/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,40.6040929,-74.0069911
40647953,JACKSON DINER INDIAN CUISINE,QUEENS,3747,74 STREET,11372,7186721232,Indian,05/03/2015,Wiping cloths soiled or not stored in sanitizing solution.,Critical,16,40.6514163,-73.9334678
40382877,OCEAN DRAGON RESTAURANT,MANHATTAN,877,10 AVENUE,10019,2122457210,Chinese,05/03/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,23,40.6756823,-73.9749265
40382877,OCEAN DRAGON RESTAURANT,MANHATTAN,877,10 AVENUE,10019,2122457210,Chinese,05/03/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,40.6756823,-73.9749265
40386999,DUE,MANHATTAN,1396,THIRD AVENUE,10075,2127723331,Italian,05/03/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,40.7376919,-74.0037787
40386999,DUE,MANHATTAN,1396,THIRD AVENUE,10075,2127723331,Italian,05/03/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,40.7376919,-74.0037787
40535136,DON PACO  LOPEZ PANDERIA,BROOKLYN,470305,4 AVENUE,11220,7184927443,Spanish,05/03/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,40.7744498,-73.9123338
40700181,SUBWAY/DONUT CONNECTION,BROOKLYN,3847,NOSTRAND AVENUE,11235,7186481227,Sandwiches,05/05/2015,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,40.5257808,-74.2019756
40700181,SUBWAY/DONUT CONNECTION,BROOKLYN,3847,NOSTRAND AVENUE,11235,7186481227,Sandwiches,05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,40.5257808,-74.2019756
40557466,KENNEDY FRIED CHICKEN,BRONX,696,ALLERTON AVENUE,10467,3475207275,Chicken,05/05/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,37,40.6349091,-74.1104206
40395516,ALPHA DONUTS,QUEENS,4516,QUEENS BOULEVARD,11104,7184724725,American,05/05/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,14,40.6374649,-73.9195175
40483596,GERSHWIN THEATRE,MANHATTAN,222,WEST   51 STREET,10019,2123544624,Other,05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,40.6756725,-73.8945999
40572494,BURGER KING,QUEENS,3310,ASTORIA BOULEVARD,11103,7186265632,Hamburgers,05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,40.7182001,-73.9978118
40572494,BURGER KING,QUEENS,3310,ASTORIA BOULEVARD,11103,7186265632,Hamburgers,05/05/2015,Hot food item not held at or above 140Âº F.,Critical,13,40.7182001,-73.9978118
40572494,BURGER KING,QUEENS,3310,ASTORIA BOULEVARD,11103,7186265632,Hamburgers,05/05/2015,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,13,40.7182001,-73.9978118
40708598,NO PARTNERS,QUEENS,2911,21 AVENUE,11105,7182789839,American,05/05/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,40.7224014,-73.9497934
40385680,EASTWOOD MANOR,BRONX,3371,EASTCHESTER ROAD,10469,7186544200,American,05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,40.7363268,-74.0081149
40560302,SERAFINA FABULOUS PIZZA,MANHATTAN,1022,MADISON AVENUE,10075,2127342676,Italian,05/05/2015,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,40.7367179,-73.9551087
40690899,THE ICE BOX-RALPH'S FAMOUS ITALIAN ICES,QUEENS,26421,UNION TURNPIKE,11004,7183438724,"Ice Cream, Gelato, Yogurt, Ices",05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,40.7481815,-73.8634962
40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001,2125948939,Pizza,05/05/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,40.750205,-73.995321
40618281,PASQUALE'S RIGOLETTO RESTAURANT,BRONX,2311,ARTHUR AVENUE,10458,7183656644,Italian,05/05/2015,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,56,40.7537478,-73.9888568
40423571,ARTUSO PASTRY SHOP,BRONX,670,EAST  187 STREET,10458,7183672515,Italian,05/05/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,40.7544774,-73.9632744
40400799,FORDHAM FRIED CHICKEN & SEA FOOD,BRONX,161,EAST  188 STREET,10468,7183647227,Chicken,05/05/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,40.7657205,-73.744333
40684961,GARDEN CAFE RESTAURANT,QUEENS,3707,83 STREET,11372,7183975631,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/05/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,40.7937245,-73.8083596
40397791,PYRAMID,MANHATTAN,101,AVENUE A,10009,2122284888,American,05/06/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,40.7521259,-73.9878448
40397791,PYRAMID,MANHATTAN,101,AVENUE A,10009,2122284888,American,05/06/2015,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.7521259,-73.9878448
40396532,METRO DINER,MANHATTAN,2641,BROADWAY,10025,2128660800,American,05/06/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,40.7586656,-73.9838064
40397359,MCCOY'S PUB,MANHATTAN,768,9 AVENUE,10019,9179290363,Irish,05/06/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,40.7826745,-73.9508638
40397359,MCCOY'S PUB,MANHATTAN,768,9 AVENUE,10019,9179290363,Irish,05/06/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,40.7826745,-73.9508638
40611479,JOE'S OF AVE U,BROOKLYN,287,AVENUE U,11223,7184494285,Italian,05/08/2015,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,60,40.6941843,-73.9928051
40576812,BEL-AIRE DINER,QUEENS,3191,21 STREET,11106,7187213160,American,05/08/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,40.7385812,-74.0053039
40572406,SHAMROCK INN,BRONX,1729,CROSBY AVENUE,10461,7188228889,Irish,05/08/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,40.7461401,-73.8960927
40550770,NIGHT LIGHT CAFE,BROOKLYN,1657,SHEEPSHEAD BAY ROAD,11235,7183680280,American,05/08/2015,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,40.766832,-73.9217386
40394518,MATEUS RESTAURANT,QUEENS,22205,JAMAICA AVENUE,11428,7184644522,Portuguese,05/09/2015,,Not Applicable,,40.7259134,-73.9834614
40366543,JARDIN DE CHINA REST,QUEENS,3737,JUNCTION BOULEVARD,11368,7184763755,Chinese,05/10/2015,Hot food item not held at or above 140Âº F.,Critical,23,40.7506691,-73.8700006
40370167,BURGER KING,QUEENS,22210,NORTHERN BOULEVARD,11361,7182251695,Hamburgers,05/10/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,40.7615707,-73.7593231
40563041,RAY'S CANDY STORE,MANHATTAN,113,AVENUE A,10009,9173407855,American,05/10/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,40.7763704,-73.9789488
40704853,B.B. KINGS,MANHATTAN,243,WEST   42 STREET,10036,2129974144,American,05/11/2015,Live roaches present in facility's food and/or non-food areas.,Critical,9,40.6379168,-73.8968126
40367377,ZUM STAMMTISCH,QUEENS,6946,MYRTLE AVENUE,11385,7183863014,German,05/11/2015,Hot food item not held at or above 140Âº F.,Critical,19,40.7017702,-73.8811177
40720858,PIER SIXTY ONE-THE LIGHTHOUSE,MANHATTAN,0,CHELSEA PIERS - PIER 61,10011,2123366146,American,05/11/2015,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,38,40.7276574,-74.0000589
40573715,HUDSON BAR AND BOOKS,MANHATTAN,636,HUDSON STREET,10014,2122292642,American,05/11/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,40.7427842,-73.9200457
40483697,LUNT FONTANNE THEATER,MANHATTAN,205,WEST   46 STREET,10036,2123544624,American,05/11/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,40.7979864,-73.9405047
40394392,PICCOLO ANGOLO,MANHATTAN,621,HUDSON STREET,10014,2122299177,Italian,05/12/2015,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,40.7356917,-73.8813015
40375634,PARIS BLUES,MANHATTAN,2021,7 AVENUE,10027,2122229878,American,06/01/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,40.806362,-73.9498039
40388808,TERESA'S RESTURANT,BROOKLYN,80,MONTAGUE STREET,11201,7187973996,Eastern European,06/02/2015,Live roaches present in facility's food and/or non-food areas.,Critical,22,40.7196857,-74.007032
40369016,VIAND COFFEE SHOP,MANHATTAN,673,MADISON AVENUE,10065,2127516622,Greek,06/02/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,40.7514669,-73.9706863
40388808,TERESA'S RESTURANT,BROOKLYN,80,MONTAGUE STREET,11201,7187973996,Eastern European,06/02/2015,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,40.7803079,-73.9760788
40546650,GIAN PIERO BAKERY,QUEENS,4417,30 AVENUE,11103,7182748959,Bakery,06/03/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,40.6349831,-73.9626206
40553443,DISTILLED,MANHATTAN,211,WEST BROADWAY,10013,2124310700,American,06/03/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,40.677911,-74.0120071
40553443,DISTILLED,MANHATTAN,211,WEST BROADWAY,10013,2124310700,American,06/03/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,40.677911,-74.0120071
